SourceID,ProductID,AvgRating,ReviewCount,SatisfiedCount,CurrentPrice
S01,P0584,0.0,0,8658,29490000
S01,P0585,0.0,0,1123,17999000
S01,P0586,0.0,0,24130,11990000
S01,P0587,0.0,0,15447,22590000
S01,P0588,0.0,0,838,21490000
S01,P0589,0.0,0,4698,17999000
S01,P0590,0.0,0,671,89990000
S01,P0591,0.0,0,3331,26990000
S01,P0592,0.0,0,21889,49990000
S01,P0593,0.0,0,15939,23990000
S01,P0594,0.0,3,77513,28990000
S01,P0595,0.0,0,5621,66520000
S01,P0596,0.0,0,4288,18390000
S01,P0597,0.0,0,4933,25990000
S01,P0598,0.0,0,86610,22590000
S01,P0599,0.0,0,601,20290000
S01,P0600,0.0,0,3853,55990000
S01,P0601,0.0,0,7159,31590000
S01,P0602,0.0,0,67,42990000
S01,P0603,0.0,0,2620,31850000
S01,P0604,0.0,0,27100,23590000
S01,P0605,0.0,0,49,79990000
S01,P0606,0.0,0,1444,50990000
S01,P0607,0.0,0,3519,54990000
S01,P0608,0.0,0,11611,25990000
S01,P0609,0.0,0,6910,30190000
S01,P0610,0.0,0,6551,20390000
S01,P0611,0.0,0,27978,19990000
S01,P0612,0.0,0,8216,26990000
S01,P0613,0.0,0,1700,56990000
S01,P0614,0.0,0,7400,40990000
S01,P0615,0.0,0,2261,129990000
S01,P0616,0.0,0,9014,13999000
S01,P0617,0.0,0,1937,20990000
S01,P0618,0.0,0,8567,28990000
S01,P0619,0.0,0,1248,21790000
S01,P0620,0.0,0,2784,25490000
S01,P0621,0.0,0,28847,18299000
S01,P0622,0.0,0,1797,63190000
S01,P0623,0.0,0,25711,35990000
S01,P0624,0.0,0,18267,30490000
S01,P0625,0.0,0,851,25590000
S01,P0626,0.0,0,22830,15990000
S01,P0627,0.0,0,21904,15190000
S01,P0628,0.0,0,381,50990000
S01,P0629,0.0,0,5195,61550000
S01,P0630,0.0,0,15854,20990000
S01,P0631,0.0,0,8255,29590000
S01,P0632,0.0,0,721,28990000
S01,P0633,0.0,0,2208,24390000
S01,P0634,0.0,0,29743,36990000
S01,P0635,0.0,0,3338,19990000
S01,P0636,0.0,0,2855,44990000
S01,P0637,0.0,0,22908,96990000
S01,P0638,0.0,0,3729,61550000
